# Truth table
# Generated from circuit ALU_control
# Exported on Sun Mar 20 18:08:36 COT 2022

# Hints and Notes on Formatting:
# * You can edit this file then import it back into Logisim!
# * Anything after a '#' is a comment and will be ignored.
# * Blank lines and separator lines (e.g., ~~~~~~) are ignored.
# * Keep column names simple (no spaces, punctuation, etc.)
# * 'Name[N..0]' indicates an N+1 bit variable, whereas
#   'Name' by itself indicates a 1-bit variable.
# * You can use 'x' or '-' to indicate "don't care" for both
#   input and output bits.
# * You can use binary (e.g., '10100011xxxx') notation or
#   or hex (e.g., 'C3x'). Logisim will figure out which is which.

ALUOp[1..0] funct[5..0] | ALU_operation[3..0]
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
    00        000000    |        0010        
    00        000001    |        0010        
    00        000010    |        0010        
    00        000011    |        0010        
    00        000100    |        0010        
    00        000101    |        0010        
    00        000110    |        0010        
    00        000111    |        0010        
    00        001000    |        0010        
    00        001001    |        0010        
    00        001010    |        0010        
    00        001011    |        0010        
    00        001100    |        0010        
    00        001101    |        0010        
    00        001110    |        0010        
    00        001111    |        0010        
    00        010000    |        0010        
    00        010001    |        0010        
    00        010010    |        0010        
    00        010011    |        0010        
    00        010100    |        0010        
    00        010101    |        0010        
    00        010110    |        0010        
    00        010111    |        0010        
    00        011000    |        0010        
    00        011001    |        0010        
    00        011010    |        0010        
    00        011011    |        0010        
    00        011100    |        0010        
    00        011101    |        0010        
    00        011110    |        0010        
    00        011111    |        0010        
    00        100000    |        0010        
    00        100001    |        0010        
    00        100010    |        0010        
    00        100011    |        0010        
    00        100100    |        0010        
    00        100101    |        0010        
    00        100110    |        0010        
    00        100111    |        0010        
    00        101000    |        0010        
    00        101001    |        0010        
    00        101010    |        0010        
    00        101011    |        0010        
    00        101100    |        0010        
    00        101101    |        0010        
    00        101110    |        0010        
    00        101111    |        0010        
    00        110000    |        0010        
    00        110001    |        0010        
    00        110010    |        0010        
    00        110011    |        0010        
    00        110100    |        0010        
    00        110101    |        0010        
    00        110110    |        0010        
    00        110111    |        0010        
    00        111000    |        0010        
    00        111001    |        0010        
    00        111010    |        0010        
    00        111011    |        0010        
    00        111100    |        0010        
    00        111101    |        0010        
    00        111110    |        0010        
    00        111111    |        0010        
    01        000000    |        0110        
    01        000001    |        0110        
