# Truth table
# Generated from circuit Control
# Exported on Mon Mar 21 10:08:43 COT 2022

# Hints and Notes on Formatting:
# * You can edit this file then import it back into Logisim!
# * Anything after a '#' is a comment and will be ignored.
# * Blank lines and separator lines (e.g., ~~~~~~) are ignored.
# * Keep column names simple (no spaces, punctuation, etc.)
# * 'Name[N..0]' indicates an N+1 bit variable, whereas
#   'Name' by itself indicates a 1-bit variable.
# * You can use 'x' or '-' to indicate "don't care" for both
#   input and output bits.
# * You can use binary (e.g., '10100011xxxx') notation or
#   or hex (e.g., 'C3x'). Logisim will figure out which is which.

Instruction[5..0] | RegDst Jump Branch MemRead MemtoReg ALUOp[1..0] MemWrite ALUSrc RegWrite
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
     000000       |   1     0     0       0       0         10         0       0       1    
     000001       |   1     0     0       1       1         10         0       1       1    
     000010       |   1     1     0       0       0         10         0       0       0    
     000011       |   1     0     0       1       1         10         0       1       0    
     000100       |   1     0     1       0       0         01         0       0       0    
     000101       |   1     0     1       1       1         01         0       1       0    
     000110       |   1     1     1       0       0         01         0       0       0    
     000111       |   1     0     1       1       1         01         0       1       0    
     001000       |   1     0     0       0       0         10         1       0       1    
     001001       |   1     0     0       0       1         10         1       1       1    
     001010       |   1     1     0       0       0         10         1       0       0    
     001011       |   1     0     0       0       1         10         1       1       0    
     001100       |   1     0     1       0       0         01         1       0       0    
     001101       |   1     0     1       0       1         01         1       1       0    
     001110       |   1     1     1       0       0         01         1       0       0    
     001111       |   1     0     1       0       1         01         1       1       0    
     010000       |   1     0     0       0       0         10         0       0       1    
     010001       |   1     0     0       1       1         10         0       1       1    
     010010       |   1     1     0       0       0         10         0       0       0    
     010011       |   1     0     0       1       1         10         0       1       0    
     010100       |   1     0     1       0       0         01         0       0       0    
     010101       |   1     0     1       1       1         01         0       1       0    
     010110       |   1     1     1       0       0         01         0       0       0    
     010111       |   1     0     1       1       1         01         0       1       0    
     011000       |   1     0     0       0       0         10         1       0       1    
     011001       |   1     0     0       0       1         10         1       1       1    
     011010       |   1     1     0       0       0         10         1       0       0    
     011011       |   1     0     0       0       1         10         1       1       0    
     011100       |   1     0     1       0       0         01         1       0       0    
     011101       |   1     0     1       0       1         01         1       1       0    
     011110       |   1     1     1       0       0         01         1       0       0    
     011111       |   1     0     1       0       1         01         1       1       0    
     100000       |   0     0     0       0       0         00         0       0       1    
     100001       |   0     0     0       1       1         00         0       1       1    
     100010       |   0     1     0       0       0         00         0       0       1    
     100011       |   0     0     0       1       1         00         0       1       1    
     100100       |   0     0     1       0       0         01         0       0       1    
     100101       |   0     0     1       1       1         01         0       1       1    
     100110       |   0     1     1       0       0         01         0       0       1    
     100111       |   0     0     1       1       1         01         0       1       1    
     101000       |   0     0     0       0       0         00         1       0       1    
     101001       |   0     0     0       0       1         00         1       1       1    
     101010       |   0     1     0       0       0         00         1       0       0    
     101011       |   0     0     0       0       1         00         1       1       0    
     101100       |   0     0     1       0       0         01         1       0       0    
     101101       |   0     0     1       0       1         01         1       1       0    
     101110       |   0     1     1       0       0         01         1       0       0    
     101111       |   0     0     1       0       1         01         1       1       0    
     110000       |   0     0     0       0       0         00         0       0       1    
     110001       |   0     0     0       1       1         00         0       1       1    
     110010       |   0     1     0       0       0         00         0       0       1    
     110011       |   0     0     0       1       1         00         0       1       1    
     110100       |   0     0     1       0       0         01         0       0       1    
     110101       |   0     0     1       1       1         01         0       1       1    
     110110       |   0     1     1       0       0         01         0       0       1    
     110111       |   0     0     1       1       1         01         0       1       1    
     111000       |   0     0     0       0       0         00         1       0       1    
     111001       |   0     0     0       0       1         00         1       1       1    
     111010       |   0     1     0       0       0         00         1       0       0    
     111011       |   0     0     0       0       1         00         1       1       0    
     111100       |   0     0     1       0       0         01         1       0       0    
     111101       |   0     0     1       0       1         01         1       1       0    
     111110       |   0     1     1       0       0         01         1       0       0    
     111111       |   0     0     1       0       1         01         1       1       0    
